date,batch_id,product_name,supplier,customer,quantity_produced,quantity_sold,stock_remaining,expiry_date,waste_quantity,defect_count,temperature,delivery_status,delivery_delay_days,revenue,feedback_text,rating
2026-01-05,BATCH-1167,Lettuce,Farm C,Distributor X,2479,888,1591,2026-01-08,263,21,5.8,Delivered,0,1539.15,Late delivery and poor product freshness,5
2026-02-05,BATCH-1168,Lettuce,Farm A,Distributor X,2828,1539,1289,2026-02-11,7,12,2.2,Delivered,2,5858.39,Delivery was late but product quality was acceptable,3
2026-04-05,BATCH-1169,Baby Leaf,Farm D,Restaurant Group,1868,247,1621,2026-04-13,227,10,7.8,Delivered,2,1048.13,Delivery was late but product quality was acceptable,3
2026-03-02,BATCH-1170,Spinach,Farm B,Distributor X,1484,872,612,2026-03-11,111,27,7.4,Delayed,3,2003.38,Good quality but delivery delay,2
2026-02-09,BATCH-1171,Rucola,Farm A,Supermarket A,1162,935,227,2026-02-12,118,9,6.8,Delayed,2,4609.45,Clean product and satisfied customer,5
2026-03-07,BATCH-1172,Lettuce,Farm B,Distributor X,2407,1411,996,2026-03-10,270,16,7.6,Delivered,0,3954.45,Very fresh and reliable supplier,1
2026-01-05,BATCH-1173,Baby Leaf,Farm D,Distributor X,2661,2103,558,2026-01-12,112,20,3.7,Delayed,1,9494.61,Fresh product and good packaging,4
2026-01-14,BATCH-1174,Lettuce,Farm D,Distributor X,2396,2027,369,2026-01-23,85,21,7.9,Delayed,3,3346.8,Excellent quality and fast delivery,2
2026-03-31,BATCH-1175,Spinach,Farm C,Distributor X,412,382,30,2026-04-04,22,23,4.1,Delayed,2,1586.69,Fresh product and good packaging,3
2026-02-25,BATCH-1176,Baby Leaf,Farm B,Distributor X,1853,118,1735,2026-03-02,127,36,3.0,Delayed,1,180.85,Fresh product and good packaging,4
2026-04-24,BATCH-1177,Lettuce,Farm D,Distributor X,714,548,166,2026-05-03,63,33,3.2,Delayed,0,2228.03,Packaging was damaged during transport,3
2026-04-02,BATCH-1178,Rucola,Farm D,Restaurant Group,2359,1136,1223,2026-04-05,89,11,6.5,Delayed,0,5513.3,Good quality but delivery delay,4
2026-02-13,BATCH-1179,Mixed Salad,Farm A,Restaurant Group,1978,1858,120,2026-02-18,110,3,6.3,Delayed,1,6643.57,Spoiled leaves and bad smell reported,5
2026-03-06,BATCH-1180,Baby Leaf,Farm B,Restaurant Group,2223,970,1253,2026-03-13,259,19,4.4,Delivered,3,3186.82,Delivery was late but product quality was acceptable,5
2026-02-08,BATCH-1181,Lettuce,Farm D,Restaurant Group,2945,1178,1767,2026-02-17,161,29,6.8,Delivered,3,5168.68,Fresh product and good packaging,3
2026-04-07,BATCH-1182,Lettuce,Farm B,Restaurant Group,863,208,655,2026-04-14,116,30,7.0,Delivered,3,583.88,Packaging was damaged during transport,1
2026-03-05,BATCH-1183,Lettuce,Farm A,Distributor X,2728,1269,1459,2026-03-10,250,10,6.4,Delayed,0,2674.01,Clean product and satisfied customer,4
2026-04-09,BATCH-1184,Mixed Salad,Farm C,Restaurant Group,1975,1170,805,2026-04-17,77,10,6.4,Delayed,3,2586.02,Poor freshness and damaged packaging,5
2026-04-19,BATCH-1185,Baby Leaf,Farm C,Supermarket A,2297,1894,403,2026-04-26,253,5,5.1,Delivered,2,9076.76,Very fresh and reliable supplier,3
2026-03-14,BATCH-1186,Baby Leaf,Farm A,Supermarket A,1121,1110,11,2026-03-19,48,20,4.7,Delivered,3,2183.57,Poor freshness and damaged packaging,2
2026-03-25,BATCH-1187,Lettuce,Farm B,Supermarket A,840,412,428,2026-04-01,45,30,7.5,Delivered,3,637.33,Late delivery and poor product freshness,4
2026-01-13,BATCH-1188,Lettuce,Farm C,Distributor X,2661,1465,1196,2026-01-21,219,13,3.5,Delayed,3,6091.31,Very fresh and reliable supplier,1
2026-02-11,BATCH-1189,Rucola,Farm A,Distributor X,781,655,126,2026-02-16,81,20,5.2,Delivered,2,1778.78,Excellent quality and fast delivery,3
2026-04-09,BATCH-1190,Baby Leaf,Farm B,Restaurant Group,1695,1043,652,2026-04-14,119,13,6.4,Delayed,0,2500.96,Delivery was late but product quality was acceptable,2
2026-03-23,BATCH-1191,Mixed Salad,Farm A,Supermarket A,2552,2038,514,2026-04-01,160,3,4.5,Delivered,2,7934.22,Fresh product and good packaging,1
2026-04-05,BATCH-1192,Lettuce,Farm B,Distributor X,772,453,319,2026-04-07,38,21,5.3,Delayed,1,1038.06,Excellent quality and fast delivery,1
2026-02-14,BATCH-1193,Spinach,Farm B,Supermarket A,1052,616,436,2026-02-17,73,33,7.2,Delivered,0,2539.46,Late delivery and poor product freshness,4
2026-03-01,BATCH-1194,Mixed Salad,Farm C,Supermarket A,810,803,7,2026-03-10,31,6,7.2,Delayed,2,3336.05,Poor freshness and damaged packaging,5
2026-02-09,BATCH-1195,Lettuce,Farm B,Distributor X,1949,727,1222,2026-02-15,167,27,6.6,Delivered,1,1256.41,Delivery was late but product quality was acceptable,4
2026-01-22,BATCH-1196,Mixed Salad,Farm B,Distributor X,1777,1111,666,2026-01-27,88,18,4.6,Delivered,3,2392.57,Late delivery and poor product freshness,4
2026-01-27,BATCH-1197,Baby Leaf,Farm A,Distributor X,1520,263,1257,2026-01-29,46,14,7.5,Delayed,1,539.9,Poor freshness and damaged packaging,4
2026-04-27,BATCH-1198,Baby Leaf,Farm C,Distributor X,1047,486,561,2026-04-30,106,39,5.0,Delayed,0,785.79,Late delivery and poor product freshness,5
2026-03-28,BATCH-1199,Mixed Salad,Farm A,Restaurant Group,2115,787,1328,2026-04-04,245,18,7.3,Delayed,2,2572.09,Fresh product and good packaging,5
2025-12-31,BATCH-1200,Baby Leaf,Farm B,Restaurant Group,1212,769,443,2026-01-03,58,26,6.1,Delivered,0,1232.53,Poor freshness and damaged packaging,2
2026-04-03,BATCH-1201,Baby Leaf,Farm D,Supermarket A,2892,326,2566,2026-04-05,371,37,5.2,Delivered,3,847.67,Excellent quality and fast delivery,4
2026-01-11,BATCH-1202,Mixed Salad,Farm D,Restaurant Group,2704,1349,1355,2026-01-14,276,27,7.0,Delayed,0,3156.07,Poor freshness and damaged packaging,2
2026-03-19,BATCH-1203,Spinach,Farm B,Distributor X,2554,1042,1512,2026-03-21,278,21,6.4,Delayed,2,4640.11,Delivery was late but product quality was acceptable,1
2026-02-04,BATCH-1204,Spinach,Farm C,Distributor X,2519,2053,466,2026-02-12,200,19,3.4,Delayed,2,5086.24,Delivery was late but product quality was acceptable,4
2026-03-02,BATCH-1205,Baby Leaf,Farm C,Supermarket A,2144,1938,206,2026-03-08,301,13,7.4,Delivered,2,8383.57,Excellent quality and fast delivery,3
2026-01-22,BATCH-1206,Mixed Salad,Farm C,Distributor X,845,350,495,2026-01-26,97,37,3.4,Delivered,3,682.84,Delivery was late but product quality was acceptable,3
2026-02-04,BATCH-1207,Spinach,Farm B,Distributor X,2104,380,1724,2026-02-11,82,2,6.5,Delivered,3,593.95,Packaging was damaged during transport,1
2025-12-31,BATCH-1208,Mixed Salad,Farm C,Restaurant Group,832,607,225,2026-01-09,37,35,2.6,Delayed,0,936.85,Late delivery and poor product freshness,4
2026-01-30,BATCH-1209,Baby Leaf,Farm C,Supermarket A,1877,1326,551,2026-02-03,221,3,2.4,Delayed,3,6060.37,Clean product and satisfied customer,1
2025-12-30,BATCH-1210,Baby Leaf,Farm B,Supermarket A,1478,794,684,2026-01-08,157,11,5.5,Delayed,1,3568.98,Spoiled leaves and bad smell reported,5
2026-03-12,BATCH-1211,Baby Leaf,Farm A,Supermarket A,1499,1112,387,2026-03-14,67,34,7.0,Delayed,3,3893.34,Packaging was damaged during transport,4
2026-03-06,BATCH-1212,Rucola,Farm C,Restaurant Group,2421,626,1795,2026-03-11,92,21,5.6,Delivered,1,2235.41,Delivery was late but product quality was acceptable,4
2026-03-05,BATCH-1213,Lettuce,Farm D,Restaurant Group,1678,447,1231,2026-03-10,172,2,5.9,Delayed,3,1610.22,Packaging was damaged during transport,1
2026-04-28,BATCH-1214,Rucola,Farm B,Supermarket A,1310,313,997,2026-05-04,11,5,2.3,Delayed,2,772.75,Fresh product and good packaging,1
2026-01-26,BATCH-1215,Mixed Salad,Farm D,Restaurant Group,1844,852,992,2026-01-30,236,19,3.2,Delivered,0,1294.42,Fresh product and good packaging,3
2026-04-09,BATCH-1216,Spinach,Farm C,Supermarket A,1091,964,127,2026-04-15,61,8,6.9,Delivered,0,4206.63,Spoiled leaves and bad smell reported,3
2026-03-01,BATCH-1217,Baby Leaf,Farm D,Distributor X,382,140,242,2026-03-08,18,10,2.8,Delayed,0,403.34,Delivery was late but product quality was acceptable,4
2026-02-16,BATCH-1218,Lettuce,Farm A,Supermarket A,655,208,447,2026-02-22,89,38,7.7,Delivered,3,940.18,Packaging was damaged during transport,5
2026-03-13,BATCH-1219,Lettuce,Farm B,Restaurant Group,926,788,138,2026-03-16,67,29,6.8,Delayed,1,1436.52,Late delivery and poor product freshness,4
2026-01-06,BATCH-1220,Mixed Salad,Farm C,Supermarket A,531,477,54,2026-01-14,1,28,6.1,Delayed,2,1706.62,Very fresh and reliable supplier,2
2026-03-09,BATCH-1221,Mixed Salad,Farm D,Restaurant Group,2960,1663,1297,2026-03-13,116,1,5.2,Delivered,3,8264.15,Excellent quality and fast delivery,1
2026-03-19,BATCH-1222,Rucola,Farm C,Supermarket A,467,334,133,2026-03-27,61,30,4.8,Delayed,0,579.77,Spoiled leaves and bad smell reported,3
2026-04-11,BATCH-1223,Rucola,Farm A,Restaurant Group,2667,474,2193,2026-04-14,29,33,4.3,Delivered,3,1672.0,Good quality but delivery delay,3
2026-03-12,BATCH-1224,Mixed Salad,Farm A,Restaurant Group,2919,2141,778,2026-03-17,379,32,5.2,Delayed,3,4452.64,Packaging was damaged during transport,4
2026-03-23,BATCH-1225,Rucola,Farm C,Distributor X,1791,932,859,2026-03-29,201,17,5.8,Delivered,2,1631.92,Fresh product and good packaging,1
2026-03-22,BATCH-1226,Spinach,Farm D,Restaurant Group,775,424,351,2026-03-24,30,3,3.0,Delayed,0,975.07,Late delivery and poor product freshness,3
2026-02-21,BATCH-1227,Lettuce,Farm B,Distributor X,2322,656,1666,2026-02-28,233,5,6.5,Delivered,0,1648.11,Spoiled leaves and bad smell reported,2
2026-03-23,BATCH-1228,Baby Leaf,Farm C,Distributor X,2417,223,2194,2026-03-30,195,17,7.0,Delivered,0,559.6,Poor freshness and damaged packaging,1
2026-01-10,BATCH-1229,Baby Leaf,Farm A,Supermarket A,1501,167,1334,2026-01-12,140,33,3.0,Delivered,2,740.63,Delivery was late but product quality was acceptable,2
2026-01-21,BATCH-1230,Mixed Salad,Farm B,Supermarket A,1639,1232,407,2026-01-27,173,20,7.8,Delivered,3,3345.46,Late delivery and poor product freshness,5
2026-01-20,BATCH-1231,Spinach,Farm C,Distributor X,1108,210,898,2026-01-26,16,34,7.3,Delayed,1,733.49,Very fresh and reliable supplier,3
2026-03-23,BATCH-1232,Lettuce,Farm A,Supermarket A,1198,619,579,2026-03-29,163,18,2.8,Delivered,0,2226.49,Clean product and satisfied customer,5
2026-03-13,BATCH-1233,Lettuce,Farm A,Supermarket A,2493,1610,883,2026-03-22,19,11,7.8,Delivered,2,5305.21,Poor freshness and damaged packaging,2
2026-01-19,BATCH-1234,Mixed Salad,Farm C,Supermarket A,1810,1540,270,2026-01-23,241,16,7.2,Delayed,2,4506.88,Delivery was late but product quality was acceptable,4
2026-04-22,BATCH-1235,Rucola,Farm D,Supermarket A,564,262,302,2026-04-24,80,32,7.4,Delivered,2,1203.14,Spoiled leaves and bad smell reported,5
2026-03-13,BATCH-1236,Spinach,Farm D,Restaurant Group,1924,386,1538,2026-03-19,213,2,6.2,Delayed,3,983.48,Excellent quality and fast delivery,1
2026-04-05,BATCH-1237,Rucola,Farm B,Distributor X,895,385,510,2026-04-09,18,7,8.0,Delayed,2,580.62,Delivery was late but product quality was acceptable,1
2026-03-24,BATCH-1238,Rucola,Farm C,Supermarket A,224,136,88,2026-03-30,7,4,6.9,Delivered,2,624.99,Delivery was late but product quality was acceptable,2
2026-02-25,BATCH-1239,Lettuce,Farm B,Distributor X,1001,483,518,2026-03-04,74,34,5.3,Delayed,3,1699.99,Excellent quality and fast delivery,5
2026-02-27,BATCH-1240,Spinach,Farm D,Supermarket A,2330,1246,1084,2026-03-07,161,15,4.9,Delayed,1,4965.79,Late delivery and poor product freshness,4
2026-03-26,BATCH-1241,Mixed Salad,Farm B,Supermarket A,2542,1338,1204,2026-04-03,52,38,3.4,Delivered,1,6591.57,Spoiled leaves and bad smell reported,3
2026-03-07,BATCH-1242,Rucola,Farm C,Distributor X,1504,825,679,2026-03-16,189,9,5.5,Delayed,1,1444.75,Excellent quality and fast delivery,2
2026-04-01,BATCH-1243,Lettuce,Farm A,Distributor X,1211,152,1059,2026-04-09,7,17,4.4,Delivered,1,697.22,Late delivery and poor product freshness,2
2026-02-13,BATCH-1244,Rucola,Farm C,Supermarket A,1939,1684,255,2026-02-16,153,17,3.7,Delayed,0,2895.49,Excellent quality and fast delivery,1
2026-04-23,BATCH-1245,Baby Leaf,Farm D,Distributor X,2572,988,1584,2026-04-25,64,18,5.4,Delayed,3,3459.32,Excellent quality and fast delivery,3
2026-04-16,BATCH-1246,Lettuce,Farm C,Supermarket A,1306,276,1030,2026-04-18,185,22,5.0,Delivered,3,1025.2,Late delivery and poor product freshness,2
2026-03-13,BATCH-1247,Baby Leaf,Farm C,Supermarket A,222,184,38,2026-03-19,32,23,6.6,Delivered,3,728.44,Good quality but delivery delay,5
2026-02-04,BATCH-1248,Baby Leaf,Farm B,Supermarket A,1946,1775,171,2026-02-10,27,34,4.7,Delayed,3,4953.09,Good quality but delivery delay,4
2026-02-17,BATCH-1249,Baby Leaf,Farm A,Distributor X,1236,309,927,2026-02-20,15,8,5.9,Delivered,1,1415.39,Fresh product and good packaging,4
2026-01-10,BATCH-1250,Baby Leaf,Farm B,Supermarket A,2078,1296,782,2026-01-19,263,6,2.8,Delivered,3,6364.75,Spoiled leaves and bad smell reported,4
2026-01-15,BATCH-1251,Rucola,Farm D,Supermarket A,1021,537,484,2026-01-20,12,9,5.3,Delivered,0,2098.68,Spoiled leaves and bad smell reported,2
2026-02-02,BATCH-1252,Mixed Salad,Farm A,Distributor X,597,237,360,2026-02-10,16,11,5.6,Delayed,0,740.47,Poor freshness and damaged packaging,2
2026-02-28,BATCH-1253,Lettuce,Farm D,Distributor X,2477,218,2259,2026-03-02,103,27,7.9,Delivered,1,339.93,Good quality but delivery delay,2
2026-03-23,BATCH-1254,Rucola,Farm A,Distributor X,1959,1624,335,2026-03-26,6,11,2.0,Delivered,0,6110.47,Packaging was damaged during transport,4
2026-01-08,BATCH-1255,Mixed Salad,Farm D,Supermarket A,506,259,247,2026-01-16,71,21,2.9,Delayed,2,1032.24,Excellent quality and fast delivery,2
2026-04-01,BATCH-1256,Lettuce,Farm B,Restaurant Group,1302,1247,55,2026-04-10,136,4,5.2,Delayed,1,4683.82,Clean product and satisfied customer,1
2026-04-12,BATCH-1257,Lettuce,Farm C,Restaurant Group,1794,1213,581,2026-04-14,25,24,6.7,Delivered,2,2443.43,Spoiled leaves and bad smell reported,4
2026-01-08,BATCH-1258,Rucola,Farm A,Distributor X,2194,590,1604,2026-01-13,101,23,6.3,Delivered,2,1010.2,Excellent quality and fast delivery,2
2026-01-06,BATCH-1259,Rucola,Farm C,Restaurant Group,2252,1943,309,2026-01-08,225,14,4.1,Delayed,0,9458.69,Clean product and satisfied customer,2
2026-02-10,BATCH-1260,Baby Leaf,Farm C,Restaurant Group,2961,2449,512,2026-02-14,5,28,4.9,Delivered,2,9453.68,Fresh product and good packaging,3
2026-02-11,BATCH-1261,Lettuce,Farm D,Restaurant Group,2297,1646,651,2026-02-13,271,3,7.7,Delayed,3,6569.24,Very fresh and reliable supplier,1
2026-02-12,BATCH-1262,Rucola,Farm B,Distributor X,1362,456,906,2026-02-20,54,37,5.7,Delayed,1,987.41,Delivery was late but product quality was acceptable,5
2026-03-01,BATCH-1263,Mixed Salad,Farm C,Supermarket A,2372,1396,976,2026-03-10,246,7,3.0,Delayed,1,5603.77,Fresh product and good packaging,3
2026-03-21,BATCH-1264,Lettuce,Farm D,Restaurant Group,2840,286,2554,2026-03-28,92,21,5.6,Delivered,1,1214.21,Very fresh and reliable supplier,3
2026-02-03,BATCH-1265,Lettuce,Farm D,Restaurant Group,1951,269,1682,2026-02-11,90,21,4.6,Delivered,0,856.26,Very fresh and reliable supplier,4
2026-04-20,BATCH-1266,Mixed Salad,Farm B,Distributor X,1661,1370,291,2026-04-22,159,24,6.6,Delivered,2,3936.84,Spoiled leaves and bad smell reported,3
2026-01-20,BATCH-1267,Baby Leaf,Farm D,Supermarket A,2965,373,2592,2026-01-25,180,26,4.5,Delivered,1,1737.37,Very fresh and reliable supplier,5
2026-04-09,BATCH-1268,Mixed Salad,Farm A,Supermarket A,1489,414,1075,2026-04-15,121,0,3.1,Delayed,3,1030.31,Poor freshness and damaged packaging,5
2026-04-18,BATCH-1269,Mixed Salad,Farm D,Restaurant Group,1146,760,386,2026-04-22,146,6,7.4,Delivered,1,3514.2,Spoiled leaves and bad smell reported,4
2026-04-06,BATCH-1270,Spinach,Farm D,Supermarket A,1073,183,890,2026-04-12,135,18,5.6,Delayed,3,681.89,Poor freshness and damaged packaging,2
2026-04-14,BATCH-1271,Mixed Salad,Farm C,Distributor X,2668,2020,648,2026-04-23,188,35,6.2,Delayed,3,7658.38,Delivery was late but product quality was acceptable,2
2026-03-03,BATCH-1272,Baby Leaf,Farm D,Distributor X,2680,2618,62,2026-03-09,68,30,2.8,Delayed,0,3927.11,Good quality but delivery delay,4
2026-03-06,BATCH-1273,Rucola,Farm B,Distributor X,1549,1480,69,2026-03-14,165,20,3.8,Delivered,3,2227.63,Poor freshness and damaged packaging,4
2026-02-12,BATCH-1274,Rucola,Farm A,Supermarket A,1734,519,1215,2026-02-20,29,36,6.3,Delivered,2,1108.4,Clean product and satisfied customer,4
2026-03-21,BATCH-1275,Baby Leaf,Farm B,Supermarket A,2751,1145,1606,2026-03-30,240,15,2.5,Delivered,1,4560.1,Excellent quality and fast delivery,1
2026-02-07,BATCH-1276,Rucola,Farm A,Distributor X,209,185,24,2026-02-09,26,20,5.4,Delivered,0,736.25,Delivery was late but product quality was acceptable,4
2026-02-07,BATCH-1277,Spinach,Farm D,Distributor X,2736,994,1742,2026-02-16,378,5,7.5,Delivered,1,4027.13,Good quality but delivery delay,1
2026-03-26,BATCH-1278,Baby Leaf,Farm A,Supermarket A,962,780,182,2026-04-02,5,19,7.9,Delivered,0,3084.19,Packaging was damaged during transport,1
2026-02-07,BATCH-1279,Lettuce,Farm B,Supermarket A,1697,1223,474,2026-02-11,42,34,2.1,Delayed,0,5987.69,Packaging was damaged during transport,4
2026-01-31,BATCH-1280,Rucola,Farm A,Distributor X,1101,988,113,2026-02-06,26,15,7.2,Delivered,3,4248.41,Delivery was late but product quality was acceptable,3
2026-02-12,BATCH-1281,Spinach,Farm A,Distributor X,1090,654,436,2026-02-17,150,1,7.2,Delivered,0,2804.6,Packaging was damaged during transport,3
2026-01-05,BATCH-1282,Spinach,Farm D,Supermarket A,794,278,516,2026-01-07,11,10,3.1,Delayed,0,1326.75,Spoiled leaves and bad smell reported,1
2026-04-01,BATCH-1283,Mixed Salad,Farm A,Restaurant Group,2365,987,1378,2026-04-04,18,21,4.0,Delayed,1,2772.21,Poor freshness and damaged packaging,1
2026-04-16,BATCH-1284,Mixed Salad,Farm D,Restaurant Group,1307,490,817,2026-04-22,147,28,4.0,Delivered,1,2303.76,Late delivery and poor product freshness,2
2026-02-26,BATCH-1285,Rucola,Farm B,Restaurant Group,1892,301,1591,2026-03-01,168,4,3.1,Delayed,0,666.88,Fresh product and good packaging,4
2026-02-17,BATCH-1286,Spinach,Farm A,Distributor X,2634,877,1757,2026-02-26,1,23,5.9,Delayed,1,3168.36,Packaging was damaged during transport,3
2026-03-31,BATCH-1287,Lettuce,Farm C,Supermarket A,1718,329,1389,2026-04-07,147,18,5.7,Delivered,1,801.41,Excellent quality and fast delivery,3
2026-04-23,BATCH-1288,Spinach,Farm A,Supermarket A,1942,1406,536,2026-05-02,47,5,3.9,Delayed,2,5050.13,Poor freshness and damaged packaging,1
2026-02-05,BATCH-1289,Baby Leaf,Farm C,Distributor X,1377,365,1012,2026-02-12,178,20,3.2,Delayed,3,1443.21,Good quality but delivery delay,5
2026-04-01,BATCH-1290,Baby Leaf,Farm D,Distributor X,1672,980,692,2026-04-03,136,35,7.6,Delayed,3,3959.24,Very fresh and reliable supplier,1
2026-02-14,BATCH-1291,Spinach,Farm C,Distributor X,569,382,187,2026-02-20,24,27,7.2,Delayed,0,1258.52,Very fresh and reliable supplier,3
2025-12-30,BATCH-1292,Mixed Salad,Farm A,Supermarket A,1059,884,175,2026-01-02,38,22,2.3,Delayed,2,1417.29,Fresh product and good packaging,1
2026-01-09,BATCH-1293,Spinach,Farm D,Distributor X,268,142,126,2026-01-15,2,32,6.0,Delayed,1,685.89,Very fresh and reliable supplier,2
2026-03-22,BATCH-1294,Lettuce,Farm C,Distributor X,2886,374,2512,2026-03-28,173,2,5.7,Delivered,2,1526.93,Late delivery and poor product freshness,3
2026-01-09,BATCH-1295,Baby Leaf,Farm B,Distributor X,689,172,517,2026-01-11,38,27,7.5,Delivered,0,279.07,Spoiled leaves and bad smell reported,2
2026-02-27,BATCH-1296,Lettuce,Farm B,Restaurant Group,562,222,340,2026-03-08,35,36,6.7,Delayed,1,721.56,Very fresh and reliable supplier,1
2026-02-11,BATCH-1297,Baby Leaf,Farm C,Restaurant Group,455,234,221,2026-02-20,67,27,2.6,Delivered,2,686.52,Excellent quality and fast delivery,1
2026-04-28,BATCH-1298,Baby Leaf,Farm D,Supermarket A,1837,1161,676,2026-05-04,201,27,6.0,Delivered,2,5049.7,Poor freshness and damaged packaging,3
2026-03-25,BATCH-1299,Rucola,Farm D,Distributor X,1163,168,995,2026-04-03,22,24,4.1,Delivered,1,739.19,Good quality but delivery delay,5
2026-03-05,BATCH-1300,Baby Leaf,Farm D,Restaurant Group,2037,643,1394,2026-03-08,176,38,3.4,Delivered,0,2997.96,Clean product and satisfied customer,3
2026-01-10,BATCH-1301,Rucola,Farm B,Supermarket A,2794,761,2033,2026-01-13,86,16,4.1,Delayed,2,2245.56,Clean product and satisfied customer,1
2026-03-31,BATCH-1302,Baby Leaf,Farm D,Restaurant Group,1900,1722,178,2026-04-05,111,22,4.6,Delivered,3,7784.13,Spoiled leaves and bad smell reported,4
2026-04-11,BATCH-1303,Rucola,Farm B,Supermarket A,1829,761,1068,2026-04-18,234,31,7.3,Delayed,1,2085.1,Delivery was late but product quality was acceptable,4
2026-03-26,BATCH-1304,Lettuce,Farm C,Restaurant Group,1936,1357,579,2026-04-03,246,18,4.0,Delayed,3,4751.8,Good quality but delivery delay,1
2026-02-26,BATCH-1305,Spinach,Farm D,Distributor X,218,166,52,2026-03-01,0,28,5.0,Delivered,0,754.78,Excellent quality and fast delivery,5
2026-03-12,BATCH-1306,Rucola,Farm A,Supermarket A,438,304,134,2026-03-18,38,23,6.2,Delivered,0,872.94,Fresh product and good packaging,3
2026-04-22,BATCH-1307,Baby Leaf,Farm A,Supermarket A,1537,916,621,2026-04-29,16,24,6.0,Delivered,2,4213.3,Very fresh and reliable supplier,4
2026-04-13,BATCH-1308,Rucola,Farm A,Supermarket A,2272,1196,1076,2026-04-20,335,6,4.7,Delivered,2,5372.92,Delivery was late but product quality was acceptable,3
2026-03-07,BATCH-1309,Spinach,Farm C,Restaurant Group,741,156,585,2026-03-16,7,21,4.9,Delivered,0,639.72,Poor freshness and damaged packaging,1
2026-03-11,BATCH-1310,Spinach,Farm A,Supermarket A,884,181,703,2026-03-18,78,19,8.0,Delivered,1,474.96,Delivery was late but product quality was acceptable,3
2026-03-06,BATCH-1311,Mixed Salad,Farm C,Restaurant Group,405,139,266,2026-03-11,58,10,5.9,Delivered,3,212.57,Excellent quality and fast delivery,1
2026-04-20,BATCH-1312,Lettuce,Farm B,Supermarket A,2595,770,1825,2026-04-29,206,24,5.5,Delivered,1,2631.95,Packaging was damaged during transport,2
2026-01-03,BATCH-1313,Lettuce,Farm A,Distributor X,2732,1334,1398,2026-01-11,91,8,4.1,Delayed,0,2741.87,Packaging was damaged during transport,3
2026-04-08,BATCH-1314,Spinach,Farm A,Supermarket A,1057,903,154,2026-04-15,61,11,4.8,Delivered,2,2210.81,Late delivery and poor product freshness,3
2026-03-03,BATCH-1315,Lettuce,Farm B,Distributor X,1154,485,669,2026-03-11,79,16,5.5,Delayed,3,1480.95,Packaging was damaged during transport,2
2026-02-26,BATCH-1316,Rucola,Farm C,Distributor X,2983,1492,1491,2026-03-05,221,0,5.2,Delayed,3,4656.39,Poor freshness and damaged packaging,2
2026-01-16,BATCH-1317,Lettuce,Farm B,Supermarket A,1174,487,687,2026-01-21,160,27,3.3,Delivered,2,1180.5,Spoiled leaves and bad smell reported,3
2026-02-09,BATCH-1318,Spinach,Farm D,Restaurant Group,1740,927,813,2026-02-11,55,39,6.4,Delivered,3,3553.84,Excellent quality and fast delivery,2
2026-04-21,BATCH-1319,Baby Leaf,Farm D,Restaurant Group,2578,1305,1273,2026-04-30,26,19,7.4,Delivered,2,5617.66,Very fresh and reliable supplier,3
2026-01-10,BATCH-1320,Baby Leaf,Farm A,Supermarket A,1898,450,1448,2026-01-14,186,20,6.7,Delivered,1,1167.63,Spoiled leaves and bad smell reported,3
2026-02-02,BATCH-1321,Rucola,Farm D,Distributor X,365,213,152,2026-02-10,42,34,7.6,Delivered,0,619.44,Delivery was late but product quality was acceptable,1
2026-02-20,BATCH-1322,Mixed Salad,Farm C,Restaurant Group,1796,1664,132,2026-02-23,60,24,3.4,Delivered,2,7901.73,Excellent quality and fast delivery,4
2026-02-19,BATCH-1323,Mixed Salad,Farm A,Restaurant Group,1538,1000,538,2026-02-24,112,19,7.6,Delayed,2,4822.2,Excellent quality and fast delivery,3
2026-03-05,BATCH-1324,Mixed Salad,Farm A,Supermarket A,2941,1845,1096,2026-03-13,424,24,5.9,Delayed,1,3776.2,Packaging was damaged during transport,4
2026-02-23,BATCH-1325,Lettuce,Farm B,Restaurant Group,1878,715,1163,2026-02-26,208,28,7.7,Delayed,3,2787.7,Fresh product and good packaging,3
2026-03-17,BATCH-1326,Lettuce,Farm B,Restaurant Group,406,367,39,2026-03-21,27,25,4.4,Delivered,1,1286.01,Clean product and satisfied customer,2
2026-03-24,BATCH-1327,Mixed Salad,Farm B,Supermarket A,1810,975,835,2026-04-02,208,19,7.3,Delayed,1,3711.49,Packaging was damaged during transport,5
2026-03-01,BATCH-1328,Mixed Salad,Farm A,Distributor X,1462,1051,411,2026-03-10,72,34,3.2,Delivered,1,4119.12,Packaging was damaged during transport,1
2026-04-21,BATCH-1329,Baby Leaf,Farm B,Restaurant Group,1430,706,724,2026-04-26,123,38,4.6,Delayed,0,2712.86,Very fresh and reliable supplier,5
2026-04-10,BATCH-1330,Spinach,Farm B,Distributor X,693,622,71,2026-04-15,57,33,4.8,Delayed,1,2984.57,Poor freshness and damaged packaging,5
2026-02-04,BATCH-1331,Lettuce,Farm D,Distributor X,2240,1931,309,2026-02-13,109,7,3.3,Delayed,3,8483.2,Fresh product and good packaging,4
2026-04-16,BATCH-1332,Spinach,Farm B,Distributor X,235,200,35,2026-04-19,23,22,2.6,Delivered,2,794.67,Spoiled leaves and bad smell reported,2
2026-03-20,BATCH-1333,Mixed Salad,Farm D,Restaurant Group,2485,2043,442,2026-03-28,144,0,4.8,Delivered,1,8944.94,Very fresh and reliable supplier,5
